Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,New Mexico,72.4265,22,72.6818,8,112.623,41,115.408,41,98.1694,29,96.4708,23,18.9369,23,11
2024,New Mexico St.,68.0966,202,66.0778,261,95.4164,334,99.3298,296,109.383,282,109.227,241,-9.89684,290,
2024,New Orleans,72.1001,28,71.4416,20,97.7346,311,97.995,313,113.048,340,115.915,352,-17.9198,340,
2024,Niagara,67.6009,232,67.2547,189,104.173,206,103.373,229,105.751,201,111.242,281,-7.86936,269,
2024,Nicholls St.,67.4371,248,66.1329,258,104.626,195,104.701,210,107.326,243,109.637,244,-4.936,229,
2024,NJIT,68.3088,187,66.1672,256,96.2518,330,97.5001,316,111.259,319,114.417,343,-16.9165,334,
2024,Norfolk St.,67.2794,256,66.4301,247,104.19,205,103.373,230,102.046,97,108.625,226,-5.25281,236,
2024,North Alabama,68.5866,166,67.7564,155,107.548,124,105.847,184,110.702,308,111.944,298,-6.09755,250,
2024,North Carolina,71.4602,41,70.4464,41,113.459,31,117.798,24,97.8323,28,93.1528,6,24.6454,9,1
2024,North Carolina A&T,68.0051,210,67.6181,159,96.2906,329,96.0097,333,114.238,350,115.445,350,-19.4357,346,
2024,North Carolina Central,67.1466,259,66.5249,242,106.024,162,104.94,204,104.59,171,111.591,291,-6.65148,254,
2024,North Dakota,67.845,219,66.5924,237,108.147,116,105.442,193,108.595,268,110.723,268,-5.28164,237,
2024,North Dakota St.,65.9505,306,65.5476,284,105.767,167,104.047,218,112.592,334,112.36,311,-8.31319,278,
2024,North Florida,68.7676,155,67.0465,204,109.067,102,107.156,158,111.358,321,112.591,317,-5.43478,240,
